node,NoT,NoR,Node_degree,sent_gas,received_gas,total_gas
17990,0.0,1.0,1.0,0.0,21000.0,21000.0
17991,1.0,0.0,1.0,65637.0,0.0,65637.0
17992,0.0,1.0,1.0,0.0,21000.0,21000.0
17993,1.0,0.0,1.0,46574.0,0.0,46574.0
17994,0.0,1.0,1.0,0.0,21000.0,21000.0
17995,1.0,0.0,1.0,21000.0,0.0,21000.0
17996,1.0,0.0,1.0,94243.0,0.0,94243.0
17997,0.0,1.0,1.0,0.0,94243.0,94243.0
17998,1.0,0.0,1.0,21000.0,0.0,21000.0
17999,0.0,1.0,1.0,0.0,21000.0,21000.0
18000,0.0,1.0,1.0,0.0,21000.0,21000.0
18001,1.0,0.0,1.0,21000.0,0.0,21000.0
18002,1.0,0.0,1.0,21000.0,0.0,21000.0
18003,1.0,0.0,1.0,423475.0,0.0,423475.0
18004,1.0,0.0,1.0,145329.0,0.0,145329.0
18005,0.0,1.0,1.0,0.0,21000.0,21000.0
18006,1.0,0.0,1.0,41536.0,0.0,41536.0
18007,0.0,1.0,1.0,0.0,41536.0,41536.0
18008,0.0,1.0,1.0,0.0,21000.0,21000.0
18009,1.0,0.0,1.0,108838.0,0.0,108838.0
18010,0.0,1.0,1.0,0.0,21000.0,21000.0
18011,1.0,0.0,1.0,153972.0,0.0,153972.0
18012,0.0,1.0,1.0,0.0,153972.0,153972.0
18013,1.0,0.0,1.0,21000.0,0.0,21000.0
18014,1.0,0.0,1.0,21000.0,0.0,21000.0
18015,1.0,0.0,1.0,164657.0,0.0,164657.0
18016,0.0,1.0,1.0,0.0,21000.0,21000.0
18017,1.0,0.0,1.0,21000.0,0.0,21000.0
18018,1.0,0.0,1.0,21000.0,0.0,21000.0
18019,0.0,1.0,1.0,0.0,21000.0,21000.0
18020,0.0,1.0,1.0,0.0,21000.0,21000.0
18021,0.0,1.0,1.0,0.0,21000.0,21000.0
18022,1.0,0.0,1.0,21000.0,0.0,21000.0
18023,0.0,1.0,1.0,0.0,21000.0,21000.0
18024,0.0,1.0,1.0,0.0,21000.0,21000.0
18025,1.0,0.0,1.0,31097.0,0.0,31097.0
18026,1.0,0.0,1.0,21000.0,0.0,21000.0
18027,1.0,0.0,1.0,31109.0,0.0,31109.0
18028,1.0,0.0,1.0,121012.0,0.0,121012.0
18029,1.0,0.0,1.0,105802.0,0.0,105802.0
18030,0.0,1.0,1.0,0.0,21000.0,21000.0
18031,0.0,1.0,1.0,0.0,21000.0,21000.0
